指数,代码,持有期,起点,终点,XIRR,总投入,终值,交易
沪深300,000300,3yr,2014-01-08,2017-01-08,89.59,47000,30962,60
沪深300,000300,3yr,2013-10-08,2016-10-08,75.65,65500,40452,71
沪深300,000300,3yr,2016-04-08,2019-04-08,74.29,36500,46287,40
沪深300,000300,3yr,2013-07-08,2016-07-08,67.87,83500,50702,84
沪深300,000300,3yr,2013-04-08,2016-04-08,63.42,96000,56685,97
沪深300,000300,3yr,2013-01-08,2016-01-08,63.31,100000,58442,109
沪深300,000300,3yr,2012-10-08,2015-10-08,55.7,116500,67768,121
沪深300,000300,3yr,2012-07-08,2015-07-08,46.4,134500,79577,130
沪深300,000300,3yr,2019-01-08,2022-01-08,38.66,24000,8812,72
沪深300,000300,3yr,2018-10-08,2021-10-08,37.68,42500,19094,85
沪深300,000300,3yr,2018-07-08,2021-07-08,36.71,51750,23841,97
沪深300,000300,3yr,2019-07-08,2022-07-08,32.14,31250,20296,71
沪深300,000300,3yr,2016-07-08,2019-07-08,31.36,39500,46934,50
沪深300,000300,3yr,2012-04-08,2015-04-08,31.1,150500,119233,140
沪深300,000300,3yr,2018-04-08,2021-04-08,29.47,53250,24035,98
沪深300,000300,3yr,2012-01-08,2015-01-08,27.27,165500,207128,150
沪深300,000300,3yr,2018-01-08,2021-01-08,27.25,53250,35562,96
沪深300,000300,3yr,2017-07-08,2020-07-08,26.81,53250,73727,92
沪深300,000300,3yr,2019-04-08,2022-04-08,26.08,20250,5145,67
沪深300,000300,3yr,2017-01-08,2020-01-08,23.59,45750,56829,74
沪深300,000300,3yr,2017-10-08,2020-10-08,23.28,53250,37062,95
沪深300,000300,3yr,2023-07-08,2026-07-08,20.05,36000,5131,57
沪深300,000300,3yr,2016-10-08,2019-10-08,19.37,42750,49491,63
沪深300,000300,3yr,2023-04-08,2026-04-08,15.55,41250,5049,69
沪深300,000300,3yr,2017-04-08,2020-04-08,10.36,50750,56869,85
沪深300,000300,3yr,2023-01-08,2026-01-08,10.22,46250,5152,79
沪深300,000300,3yr,2020-01-08,2023-01-08,10.13,55500,48738,71
沪深300,000300,3yr,2021-10-08,2024-10-08,8.58,94250,89160,112
沪深300,000300,3yr,2020-04-08,2023-04-08,7.69,56000,54921,73
沪深300,000300,3yr,2019-10-08,2022-10-08,7.39,40750,29144,70
沪深300,000300,3yr,2022-10-08,2025-10-08,6.25,64250,8037,91
沪深300,000300,3yr,2022-07-08,2025-07-08,3.45,77250,8125,104
沪深300,000300,3yr,2011-10-08,2014-10-08,2.9,183250,191615,156
沪深300,000300,3yr,2022-01-08,2025-01-08,1.64,94250,28354,116
沪深300,000300,3yr,2022-04-08,2025-04-08,1.59,91250,13423,115
沪深300,000300,3yr,2015-10-08,2018-10-08,1.28,11750,11769,18
沪深300,000300,3yr,2014-04-08,2017-04-08,0.0,27500,18137,51
沪深300,000300,3yr,2014-07-08,2017-07-08,0.0,9500,5689,40
沪深300,000300,3yr,2014-10-08,2017-10-08,0.0,2000,976,29
沪深300,000300,3yr,2015-01-08,2018-01-08,0.0,0,0,0
